会社名,仕事内容,勤務地,初年度年収,対象となる方,給与,情報更新日
株式会社ダウイン,::★ 安定／経営母体である親会社が上場 ★:: TOYOTAやフェラーリなど大手自動車ディーラー等での修理・点検・部品交換等の整備士業務,【希望や自宅を考慮して配属】 47都道府県各地のクライアント先 ※出張面接致します ※現地採用、現…,450万円～600万円,::★ 年齢不問／学歴不問／第二新卒歓迎 ★:: 自動車整備士3級以上の方 ★出張面接もします！勤務先によって社宅も完備 ★年収500万円以上も目指せる,◆時給 2000円以上 ※月収40万円以上も可能です！ ⇒ 時給2000円×8ｈ×22日＋残業手当（2500円×20h/月…,2020/11/06
株式会社aaath,"【完全週休2日制なのに""月給25万円スタート""の好待遇◎】不動産売買のご案内などをお任せします。手厚い教育体制であなたの独り立ちをサポート◎",＜転勤ナシ・「四ツ橋」駅より徒歩4分＞ 大阪府大阪市西区北堀江1-11-5 RE018 2階 ※U…,350万円～1000万円,"【宅建資格をお持ちの方を優遇！月""3万円""支給】◆PC操作のスキル ★家庭と両立を応援！残業ほぼナシ＆家庭の用事にも対応します。20代の女性も活躍中",月給25万円〜+諸手当+インセンティブあり ★1成約につき100万円のインセンティブを支給 ※上記は最低保…,2020/11/24
株式会社カーリング・サービス,【将来の幹部候補】オーナー様と借主をつなぐ仕事◆テナント対応・設備保全・各種管理業務など、ビル管理者として幅広い業務をお任せします。,【青山 ラ コレッツィオーネ】 東京都港区南青山6-1-3 ※各線｜表参道駅 徒歩4分,330万円～380万円,【30～40代活躍中】応募条件：◎ビジネスコミュニケーション能力 ◎基本的なPCスキル｜◆営業経験・顧客折衝経験などを持つ方は大歓迎します。,月給24万円〜27万円 ＋ 賞与年2回 ＋ 諸手当 ※経験・年齢・スキルを考慮の上、 　当社規定に基づき決定…,2020/10/30
株式会社福永建設工業,《8割官公庁案件！社会貢献度◎》現場の管理・確認、工事計画の作成、設計…など工事の進行を支えるポジションです！,《UIターン歓迎／マイカー通勤OK！》 広島本社／広島県広島市西区観音本町1‐16‐22,350万円～800万円,《未経験スタートを応援！20代～30代社員も多数活躍中》◆要普免(AT限定不可) ◆土木・建築施工管理技士・設計コンサルタントに興味のある方大歓迎,月給：25万円〜60万円＋各種諸手当 ※※年齢・経験、能力を最大限考慮し決定いたします。 ※試用期間3ヶ…,2020/10/30
株式会社鶴電工業,<資格取得支援&丁寧な教育体制だから安心>◎大型風力発電所建設・特別高圧設備にかかわる業務のうち、電気設備工事 or 電気・土木施工管理のいずれか,◇本社 山形県酒田市広栄町2丁目1-3 ※マイカー通勤可能！無料駐車場有 ◇東京本部 東京都港区芝…,300万円～500万円,【経験者・有資格者優遇】◎しっかり稼ぎたい、業務の幅を広げたい！…そんな方も大歓迎！急成長中の業界で活躍&成長していきませんか？！,<経験者> 月給25万円〜40万円＋諸手当 <未経験者> 月給20万円〜＋諸手当 ※経験・年齢・資格を考慮の上…,2020/10/30
株式会社エフピー保険事務所,【お客様に寄り添い、生涯にわたってお付き合いするコンサルティングプランナー】保険の営業をお任せします。,【ずっと鹿児島で働こう！】 ◆マイカー通勤OK 鹿児島市中央町23-21-104 中央駅一番街アー…,300万円～2000万円,《 経験者求ム！》営業経験のある方（業界・年数不問）★業界未経験でもOK！◎要普免（AT限定可） ◎基本的なPCスキル,月給25万円（一律手当含む）〜 + 歩合給 ※年齢、経験、能力を考慮の上、優遇します。 ※最長6ヶ月間の試…,2020/11/10
住井運輸株式会社,■港湾荷役（こうわんにやく）：神戸港で、貨物の積み下ろし作業を行う“必要不可欠”な存在 ☆20～30代の男性が中心に活躍する風通しが良い職場,《転勤なし／U・Iターン歓迎》 ◆兵庫県神戸市中央区波止場町6-7 ※神戸港（作業現場）まで送迎あ…,,【頑張るほどに稼げる体制です！】■34歳まで（※）■高卒以上 ■普通自動車免許 ★未経験＆第二新卒歓迎 ★正社員デビューという方も歓迎！,◆月給20万円〜30万円 + 諸手当 ※残業代は別途全額＆お弁当も毎日支給します ※試用期間3ヶ月あり（待…,2020/11/12
有限会社アイ・ティー・ピー,【プラスチック部品の機械加工や、検査などをお任せします】電源の立ち上げ → 条件の設定 → ボタンを押す……これで加工スタート！,【転勤なし／マイカー通勤OK（駐車場完備）】 ■愛知県豊川市大木町石道5-1 ※三河一宮駅から車で…,300万円～400万円,【未経験大歓迎】★モノづくりに興味があればOK！★ほぼ全員が中途社員！★前職はとんかつ屋さん、市場で勤務していた…など、異業種出身者が多数！,時給930円〜＋成果給6万〜10万円 【月収例24万〜30万円】 ※試用期間3ヵ月あり（期間中は成果給が−5000…,2020/10/30
株式会社エヌ・ワイシステム,【17時終業＆残業ほぼナシ／完全週休2日(月8日休)】式の打合せ・準備、進行サポート、互助会紹介などをお任せします！★知識ゼロから丁寧に育てます！,＜札幌拠点 積極採用中＞ 希望をお伺いし、下記いずれかの拠点に配属します。 西事業所／北海道札幌市…,250万円～500万円,【未経験社員が活躍中／マイナビ転職からの入社実績あり】育児中の方や子育てが一段落して働きたいと考えている方も大歓迎です！※高卒以上・要普免,月給18万円以上 + インセンティブ(平均7〜22万円) ---------------------------------------------- ※経…,2020/10/30
ハウンドジャパン株式会社,普通免許（AT限定でOK）ではじめる、月収72万円も可能な軽貨物配達。Ｗワーク、副業もＯＫ！定期便、スポット便、宅配便など自由に選べて稼げる！,■原則自由 ■直行直帰OK ■配送エリアは東京都、神奈川県、埼玉県南部が中心になります。 ※詳しく…,,《未経験歓迎！学歴・年齢不問》 20代から50代まで幅広いドライバーさんが活躍しています。,完全歩合制もしくは日額報酬（案件による） ◆年収850万円可！◆報酬週払いOK◆ ※未経験でも2ヶ月後に…,2020/10/30
東部電工株式会社,【ライフラインを支える！ダイナミックな仕事】鉄塔をつくるための基礎工事や鉄塔から鉄塔などに張ってある送電線の工事などをメインに担当します,＊マイカー・バイク通勤OK ＊月1万5000円〜2万円で住める社宅あり！ 本社／静岡県富士宮市野中…,300万円～400万円,《意欲があればOK！学歴や資格も不問》要普免 ◇20～30代が活躍中 ◇資格取得で新しいキャリアを築きたい、転勤なしで安定収入を得たい方はぜひ！,月給22万5000円〜＋賞与年2回 ※経験を積めば年収700万も可能です。 ※経験・スキルなどを考慮のうえ、…,2020/10/30
有限会社ジェイジェイドリーム,【既存のお客様からの問い合わせも多数】希望・適性を考慮し、＜営業＞または＜技術＞のいずれかをお任せ ★インセンティブで収入アップ ★残業少なめ,【転勤なし／マイカー通勤OK／最寄り駅より徒歩10分★】 大阪府大阪市平野区長吉出戸６-１５-３１…,350万円～700万円,【未経験歓迎】◎建築や住宅業界経験者優遇 ◎内装、外装、リフォーム、リノベーションなどに携わったことのある方／営業経験のある方(年数不問)歓迎,月給25万円〜40万円＋別途インセンティブあり ☆頑張り次第で高収入がめざせます！ ※経験や能力を考慮し…,2020/10/27
